index,metrics,MMFF,tlmmff,dtnn7id,tlconfmmff
10,A_MAE,326057.02,26.75,26.28,4.19
10,A_RMSE,329296.85,28.6,27.92,8.67
10,R_MAE,1.25,1.17,0.74,0.77
10,R_RMSE,1.51,1.44,0.94,0.98
10,R_SR,0.48,0.56,0.72,0.6
11,A_MAE,364009.06,23.14,24.01,1.3
11,A_RMSE,365016.23,23.52,24.36,1.6
11,R_MAE,1.2,1.39,0.68,0.91
11,R_RMSE,1.49,1.64,0.82,1.11
11,R_SR,0.56,0.52,0.59,0.7
12,A_MAE,411142.13,23.87,25.0,2.61
12,A_RMSE,414456.92,25.62,25.99,3.12
12,R_MAE,1.6,2.19,1.48,1.85
12,R_RMSE,2.0,2.68,1.77,2.19
12,R_SR,0.3,0.45,0.5,0.5
total,A_MAE,378015.34,24.21,24.93,2.49
total,A_RMSE,382046.85,25.59,25.87,4.55
total,R_MAE,1.32,1.51,0.9,1.1
total,R_RMSE,1.62,1.83,1.11,1.33
total,R_SR,0.46,0.51,0.61,0.61
